"initiative_id","spot_counts","active_spots","station_list","ordered_impressions","delivered_impressions"
"83e678d3-b511-4249-9bfa-95fa01f65631",1393,1393,"KKIX-FM, KQSM-FM, KIGL-FM, KMXF-FM, KEZA-FM, KYNG-AM, KRMW-FM, KFAY-AM, KAMO-FM, KMCK-FM, KKEG-FM",77069032,77069032
"894c919a-e90a-4428-97b8-d32fb704aa86",273,273,KXKT-FM,16589377,16589377
"8fc87804-99e6-4a71-a4f2-7a870bb1f69a",361,361,"WHTZ-FM, WWPR-FM, WKTU-FM, WLTW-FM",271859960,271859960
a78571e7-6407-4ca9-8ca8-1d7d549c51fe,2632,2632,"WMMX-FM, WCKY-AM, WONE-AM, WZDA-FM, WLW-AM, WCHD-FM, WTUE-FM, WKFS-FM, WKRC-AM, WEBN-FM, WSAI-AM",166915016,166915016
abfb1e74-f14d-4132-9e44-37bccf60685f,620,620,"WKSI-FM, WUSQ-FM, WFQX-FM, WMRE-AM",9401613.0,9401613.0
e20bae17-8ca1-43bb-8749-45c59977c968,488,488,"WKSJ-FM, WMXC-FM, WRGV-FM, WRKH-FM, WTKX-FM",30765309,30765309
fe274adc-37f9-4e7b-936e-79515fbe3333,1515,1515,"KRWM-FM, KJEB-FM, KZOK-FM, KJR-AM, KJR-FM, KBKS-FM, KJAQ-FM, KPTR-AM, KKNW-AM, KNWN-AM, KNKX-FM",148242853,148242853
"380c5963-7cc9-47ae-83b4-c9ef2555fd42",1300,1300,"WSSL-FM, WYNA-FM, WGTR-FM, WMYI-FM, WROO-FM, WWXM-FM, WAYS-AM, WESC-FM, WRXZ-FM, WGNI-FM, WFBC-F2, WSEA-FM, WLFF-FM, WLQB-FM, WSYN-FM, WMNX-FM, WROQ-FM, WDAI-FM, WORD-AM",67129941,67129941
"407216cf-4c62-49df-976d-ad012084b8a8",853,853,"WWNC-AM, WPEK-AM, WKSF-F2, WQNQ-FM, WQNS-FM, WQNQ-F2, WKSF-FM",89408041,89408041
"6fee0a71-3220-40bb-b0ae-677bfd7e2bfd",707,707,"KEEY-FM, KTCZ-FM, KQQL-FM, KTLK-AM, KDWB-FM, KFXN-FM, WGVX-FM, KQRS-FM",135208621,135208621
"9e09b824-a2ea-46c0-89e0-d12749e978dd",505,505,"WKSC-FM, WTMX-FM, WVAZ-FM, WLIT-FM, WDRV-FM",227784139,227784139
b0dd5e1c-bae2-44ca-953c-3620943b5e4b,1126,1126,"WTPT-FM, WSSL-FM, WMYI-FM, WESC-FM, WYRD-FM, WORD-AM",139638857,139638857
d9a1aeda-c16a-4d8e-9ccd-a8aa87038c1a,700,700,"WSVO-FM, WKCY-AM, WACL-FM, WKDW-AM, WKCY-FM, WAZR-FM",28420150,28420150
e55b7a7c-18e9-4264-9977-d2f086feca27,1179,1179,"KLSD-AM, KOGO-AM, KIOZ-FM, KGB-AM, KMYI-FM, KGB-FM, KPWK-AM, KTIE-AM, KSSX-FM, KHTS-FM, XTRA-FM, KLQV-FM, KLNV-FM",191110322,191110322
ec72d213-9e74-4b68-b857-31445a5b9800,539,539,"KFAB-AM, KXKT-FM, KFFF-FM, KISO-FM, KGOR-FM",24233930,24233930
f2721723-bb79-40ad-9a36-adc448260250,190,190,WAEB-AM,14357410,14357410
f5ed4022-33d7-4b14-8529-1e2ef508912e,1243,1243,"KIIS-FM, KYSR-FM, KFI-AM, KEIB-AM, KOST-FM, KBIG-FM, KRCD-FM, KRRL-FM, KLAC-AM, KSCA-FM, KLVE-FM, KLOS-FM",492357447,492357447
"11157cf0-90f2-4a93-805d-abf6276b2b4a",390,390,"WNNX-FM, WWWQ-F3, WSTR-FM, WFSH-FM, WBZW-FM, WWWQ-FM, WBZY-FM, WRDG-FM, WSB-AM, WSB-FM, WWPW-FM, WUBL-FM, WSRV-FM, WKHX-FM",61353226,61353226
"288682d8-4472-453c-8359-e73d34e066e6",99,99,"WHTZ-FM, WJRZ-FM, WRAT-FM, WOBM-FM, WCHR-FM, WJLK-FM, WDHA-FM, WMGQ-FM",10016945,10016945
"4e019c94-27c8-468d-b660-91147ca1cadb",749,749,"KTKR-AM, KONO-AM, WOAI-AM, KAJA-FM, KTSA-AM, KTKX-FM, KRPT-FM, KQXT-FM, KXXM-FM, KKYX-AM, KCYY-FM, KSMG-FM, KISS-FM, KONO-FM, KVBH-FM, KTFM-FM",126096029,126096029
"674875f1-a0ba-4139-865e-38af6da6be42",673,673,"KESZ-FM, KFYI-AM, KSLX-FM, KDKB-FM, KOY-AM, KYOT-FM, KMXP-FM, KZZP-FM, KUPD-FM, KNIX-FM, KGME-AM, KHOT-FM, KOMR-FM",104473079,104473079
"8fb89303-a677-4fc6-9753-90d3e69fd446",697,697,"WHTK-AM, WVOR-FM, WNBL-FM, WKGS-FM, WDVI-FM, WAIO-FM, WHAM-AM",59756709,59756709
a759a072-5be6-4c15-95b2-550b7623087c,135,135,"WVBZ-FM, WTQR-FM",4314799.0,4314799.0
b76504a1-416f-44ca-a72b-aeca6f08666e,291,291,"WVOR-FM, WAIO-FM, WKGS-FM, WHAM-AM, WDVI-FM, WHTK-AM, WNBL-FM",19151321,19151321
d3dfa2c1-b63c-44d3-980a-8254083a9424,928,928,"WKDW-AM, WKCY-AM, WSVO-FM, WACL-FM, WAZR-FM, WKCY-FM",7658139.0,7658139.0
e03f89db-8a2e-454c-a574-f979b64d3456,233,233,WAEB-AM,6333837.0,6333837.0
e3043559-7fb7-45ab-aa85-b59aed199197,587,587,"KJEB-FM, KQMV-FM, KRWM-FM, KPNW-FM, KJAQ-FM, KZOK-FM, KBKS-FM, KJR-AM, KJR-FM, KPLZ-FM, KNWN-AM",65926140,65926140
e5689a0d-f15e-4fb9-b857-59c5f9be4a06,890,890,"WHAM-AM, WKGS-FM, WVOR-FM, WDVI-FM, WAIO-FM, WNBL-FM, WHTK-AM",54971386,54971386
"349d97c9-1d25-423b-b5a7-5a3cf6102b4d",773,773,"KFFF-FM, KGOR-FM, KFAB-AM, KXKT-FM, KISO-FM",41270529,41270529
